n,p,k,ph,moisture,plant,health
102,51,52,7,0.01,1,1
102,51,52,7,0.03,1,1
102,51,52,7,0.03,1,1
102,51,52,7,0.05,1,1
102,51,52,7,0.03,1,1
102,51,52,7,0.03,1,1
102,51,52,7,0,1,1
102,51,52,7,0.06,1,1
102,51,52,7,0.04,1,1
102,51,52,7,0,1,1
102,51,52,7,0,1,1
102,51,52,7,0,1,1
102,51,52,7,0.02,1,1
102,51,52,7,0.01,1,1
102,51,52,7,0,1,1
102,51,52,7,0.04,1,1
102,51,52,7,0,1,1
102,51,52,7,0.01,1,1
102,51,52,7,0,1,1
102,51,52,7,0,1,1
102,51,52,7,0.01,1,1
102,51,52,7,0.02,1,1
102,51,52,7,0.04,1,1
102,51,52,7,0.03,1,1
102,51,52,7,0.01,1,1
102,51,52,7,0.66,1,1
102,51,52,7,0.08,1,1
102,51,52,7,0.01,1,1
102,51,52,7,0.02,1,1
102,51,52,7,1.07,1,1
102,51,52,7,1.06,1,1
102,51,52,7,1.09,1,1
102,51,52,7,1.15,1,1
102,51,52,7,1.16,1,1
102,51,52,7,1.26,1,1
102,51,52,7,1.11,1,1
102,51,52,7,1.12,1,1
102,51,52,7,1.26,1,1
102,51,52,7,1.1,1,1
102,51,52,7,1.1,1,1
102,51,52,7,1.2,1,1
102,51,52,7,1.18,1,1
102,51,52,7,1.13,1,1
102,51,52,7,1.11,1,1
102,51,52,7,1.22,1,1
102,51,52,7,1.15,1,1
102,51,52,7,1.09,1,1
102,51,52,7,1.15,1,1
102,51,52,7,1.16,1,1
102,51,52,7,1.15,1,1
98,49,50,6.8,0.68,1,1
98,49,50,6.8,0.52,1,1
98,49,50,6.8,0.65,1,1
98,49,50,6.8,1.38,1,1
98,49,50,6.8,0.34,1,1
98,49,50,6.8,0.75,1,1
98,49,50,6.8,0.37,1,1
98,49,50,6.8,1.38,1,1
98,49,50,6.8,0.97,1,1
98,49,50,6.8,0.83,1,1
98,49,50,6.8,0.65,1,1
98,49,50,6.8,0.71,1,1
98,49,50,6.8,1.33,1,1
